temperature,22.2,22.26,22.31,22.4,22.46,22.37,22.34,22.31,22.29,22.26,23.15,23.19,23.24,23.29,23.33,23.45,23.48,23.44,23.45,23.51,24.16,24.19,24.23,24.32,24.39,24.49,24.69,24.89,24.78,24.37,25.08,25.1,25.12,25.14,25.16,25.17,25.19,25.21,25.23,25.25,26.06,26.07,26.08,26.09,26.09,26.1,26.11,26.11,26.12,26.12,27.1,27.12,27.12,27.13,27.13,27.14,27.14,27.13,27.13,27.13,28.12,28.13,28.13,28.14,28.14,28.14,28.14,28.14,28.13,28.13,29.13,29.14,29.14,29.15,29.15,29.14,29.14,29.13,29.13,29.12,30.14,30.15,30.15,30.15,30.15,30.14,30.14,30.13,30.12,30.11,31.15,31.15,31.15,31.15,31.15,31.14,31.13,31.13,31.12,31.11,32.16,32.16,32.17,32.17,32.16,32.15,32.14,32.13,32.12,32.11,33.16,33.17,33.17,33.16,33.16,33.15,33.14,33.13,33.11,33.1,34.16,34.17,34.17,34.17,34.16,34.15,34.13,34.12,34.11,34.1,35.17,35.17,35.17,35.17,35.16,35.15,35.13,35.13,35.11,35.1,36.17,36.18,36.17,36.17,36.16,36.15,36.13,36.12,36.11,36.1,37.18,37.18,37.18,37.17,37.16,37.15,37.13,37.12,37.11,37.1,38.18,38.18,38.18,38.17,38.16,38.15,38.13,38.12,38.1,38.09,39.18,39.18,39.18,39.17,39.16,39.14,39.13,39.11,39.1,39.09,40.18,40.18,40.18,40.17,40.16,40.14,40.13,40.12,40.1,40.09,41.18,41.18,41.18,41.16,41.15,41.14,41.13,41.11,41.1,41.09,42.19,42.19,42.18,42.17,42.15,42.14,42.13,42.12,42.1,42.09,43.19,43.16,43.13,43.13,43.12,43.11,43.1,43.1,43.1,43.1,44.21,44.2,44.19,44.18,44.16,44.15,44.13,44.12,44.11,44.09,45.18,45.18,45.17,45.16,45.15,45.14,45.12,45.11,45.1,45.09,46.19,46.18,46.18,46.17,46.15,46.13,46.12,46.11,46.1,46.09,47.19,47.18,47.18,47.16,47.15,47.13,47.12,47.11,47.09,47.09,48.18,48.18,48.17,48.16,48.15,48.13,48.12,48.11,48.1,48.09,49.18,49.18,49.17,49.16,49.15,49.13,49.12,49.11,49.1,49.09,50.18,50.18,50.17,50.16,50.15,50.14,50.12,50.11,50.1,50.08
519.44,6,10,21,-1,33,17,-9,10,-1,-13,-5,-5,10,17,25,-9,2,-13,2,-9,-9,8,21,-1,4,2,-17,-17,14,14,14,6,-9,-9,10,-28,2,-17,17,14,-13,6,10,10,12,10,-1,6,2,10,14,2,2,17,14,-9,-9,-17,2,14,10,-24,-5,-24,0,10,14,10,17,-17,10,14,2,-13,10,-17,-13,-9,14,-20,33,6,10,2,-24,17,-1,21,2,21,6,-5,10,14,10,-1,14,2,10,-9,29,-1,-13,-9,6,-24,14,-1,6,14,2,17,10,21,14,14,-5,14,6,6,-5,-1,-9,17,2,2,14,10,-20,6,14,-39,6,-20,-9,25,6,6,-5,17,0,-1,10,6,14,10,10,2,21,8,-9,-1,40,-1,6,17,10,33,-1,-13,2,-17,6,2,10,14,6,-1,-5,21,-1,-5,6,25,-9,-1,10,-1,-5,-5,2,-17,17,2,17,29,-1,2,-17,-1,-1,-5,2,6,-20,-5,14,6,-28,-17,10,10,10,-1,6,17,-1,-13,-5,-7,17,10,6,-1,6,17,-5,-9,2,-9,-20,6,2,10,-1,25,14,17,29,2,2,-1,-1,-13,-1,14,-1,-17,-17,-5,2,-5,21,2,14,17,-5,-5,17,10,17,-1,2,21,-9,-5,6,2,-1,6,14,-5,10,-1,17,17,10,33,2,-36,-9,10,33,-13,17,17,10,-5,14,25,2,33,16,-13,-5,2,14,21,6,-5
519.57,-12,-8,-12,0,7,-4,11,4,23,4,15,-8,4,4,11,-12,-8,-15,-19,-8,4,2,-23,15,0,4,-4,4,7,-12,4,-12,19,-4,4,4,19,-4,0,-23,11,-23,-8,4,15,7,19,-4,4,-4,4,-4,7,-4,4,-4,4,-4,-19,15,13,-12,-15,-8,15,-12,0,7,-15,4,30,0,0,-15,4,-12,11,0,-12,-8,19,-8,15,-12,0,7,0,7,-8,-4,0,7,0,19,0,-8,-13,7,19,11,4,0,7,0,-8,-12,-4,-8,4,0,0,4,15,-4,-8,-4,7,7,-23,-8,15,-38,-12,23,7,-4,-8,-27,-19,-4,4,4,-8,-4,7,-12,-19,-23,0,-4,11,11,-12,19,13,13,0,0,11,11,7,-12,4,19,15,0,4,-4,19,-12,7,-4,7,-15,-15,0,-12,4,-8,15,-4,-4,-8,-8,0,0,15,-8,4,15,-23,7,19,26,30,11,-8,0,-31,19,15,15,-8,-19,-8,11,-8,4,-12,11,7,-12,7,26,7,-31,0,11,-8,4,-31,0,0,7,0,7,19,4,-12,19,19,-15,15,-12,11,-4,7,4,0,15,19,-19,-4,11,-8,-12,19,30,15,-15,0,15,0,-4,-38,-12,7,-19,-15,-8,-8,15,15,4,0,-4,26,-8,-15,-12,-15,-4,-8,-4,7,-23,-4,0,-15,-19,-8,4,-15,15,-8,-15,-4,7,15,4,11,-8,19,26,-4,-19,7,19,-8,11
519.69,7,-23,-4,0,0,-23,-12,7,-23,-8,4,-12,-12,-4,-19,-15,-13,-4,-15,-15,7,-12,-4,0,-4,7,-4,-15,-4,15,-17,0,28,-15,-12,-8,-15,-4,0,-4,-8,7,-29,-31,-23,-8,-19,-12,-4,-19,-8,0,-4,-15,-8,-23,-23,19,-8,4,11,-8,-4,4,-4,7,-23,0,-15,0,-8,-4,0,-23,7,11,11,4,-23,-19,-4,-8,-8,-8,-12,-19,-15,0,-19,15,4,7,7,-19,-12,-12,4,-19,-31,-27,-12,-4,-8,7,11,-12,-8,-4,0,-8,-19,-27,11,-15,-4,-4,-4,-19,-23,-12,-8,4,-8,11,4,0,-12,4,-15,-15,-8,-4,26,-8,-19,-8,0,4,7,15,4,4,-4,23,7,-12,0,0,-19,-4,26,-8,-27,-23,4,-8,7,-15,4,15,4,4,-19,-8,-12,4,-4,-15,-27,7,-12,-19,-8,15,11,0,-15,-4,0,-19,-8,7,-8,-8,-19,0,7,-4,7,15,7,-15,-4,-8,-15,0,-15,0,0,-12,4,7,-4,7,-8,4,-8,0,-8,0,-12,-23,7,0,-27,-15,7,-19,7,-8,-4,4,4,-8,-8,-15,4,-23,-15,-12,7,0,4,-12,19,-8,-8,-4,-12,-12,-23,7,4,-19,-8,-12,0,-8,0,0,-8,-8,5,7,-4,0,7,-8,-19,-8,4,-8,-15,-19,-15,-4,11,0,-12,-15,-15,-23,-4,-12,-8,-8,-12,-12,-12,0,4,-8,11,4,-8,-8,0,23,-4,-4
519.82,-4,4,4,-12,-12,11,-8,4,-19,23,-8,4,-4,11,11,-8,7,4,-19,-4,15,11,0,7,0,7,7,7,-4,4,0,-8,15,26,0,15,-15,11,7,-4,-8,4,15,-19,4,0,-8,-4,-4,4,7,0,-31,7,26,4,-8,4,0,0,-15,-27,-19,11,-4,-19,26,0,11,-12,7,-8,15,0,23,0,4,4,23,0,4,4,-12,23,-8,11,-8,23,0,-23,23,-8,7,11,15,4,19,0,19,23,9,-4,19,15,7,7,-4,11,26,4,4,-8,15,-8,34,-12,11,30,23,7,11,15,-8,-31,-15,-21,15,11,-4,-27,34,0,-8,-8,4,4,-4,4,23,7,-8,-15,-12,7,11,-8,-8,-8,-4,7,0,-12,11,23,11,19,-6,-8,4,11,-12,0,26,7,7,-4,7,30,-8,-19,7,7,19,-4,0,0,4,34,15,-19,-4,-8,4,-8,7,7,11,0,0,26,4,-8,15,-8,-4,-12,-4,-8,7,7,7,15,-8,4,7,7,4,11,15,4,15,11,4,30,7,4,19,-4,4,-8,-8,23,-8,-12,4,0,-8,30,0,-4,15,-4,-12,-12,11,0,11,11,0,-8,7,26,4,23,15,15,23,7,23,11,4,-4,15,7,-4,11,7,-23,15,4,7,7,-4,-27,7,-4,7,7,11,11,-27,7,-8,-12,4,15,7,15,0,15,0,-15,-19,7,-23,4,19,-27,4,-12
519.95,12,31,8,8,12,12,23,12,15,4,8,8,34,4,-4,19,4,8,23,8,19,-15,12,-7,15,12,15,12,-7,27,15,8,-15,4,4,0,19,-19,12,12,12,4,8,8,-11,-4,12,-4,-4,-4,27,27,15,4,15,-11,8,15,19,31,27,12,8,31,4,19,-4,23,27,23,12,34,12,31,19,27,4,15,8,12,4,12,0,19,19,23,4,4,8,31,0,8,19,8,8,12,-7,38,8,-4,-19,-4,12,19,0,4,-7,-7,4,10,8,46,8,8,23,15,4,0,12,4,19,23,0,8,-15,15,12,4,4,19,12,0,19,19,-4,-15,4,12,4,23,42,12,23,15,12,19,23,15,23,-11,4,4,8,12,19,8,12,8,15,19,15,-11,-4,4,31,-11,34,15,0,15,15,12,27,8,23,8,-7,23,31,-4,-4,0,12,4,15,42,15,12,34,27,27,0,8,12,23,8,27,15,31,34,12,27,42,27,15,31,8,12,15,23,4,12,4,-7,8,38,19,12,34,0,15,-7,4,12,-4,23,0,0,8,42,8,-22,-7,38,19,27,4,0,19,19,23,0,23,31,12,46,8,15,12,23,8,12,23,31,4,15,23,-11,-4,19,4,0,8,23,31,23,4,19,15,19,8,8,31,34,-19,38,31,4,8,8,19,4,8,27,4,27,0,4,0,12
520.07,-23,-26,-49,-30,-42,-34,-26,-57,-26,-23,-26,-23,-15,-19,-38,-34,-4,-26,-23,-30,-23,-30,-30,-15,-19,-30,-38,-23,-11,0,-11,-11,-19,-23,-15,-42,-15,-51,-23,-7,-30,-26,-11,-42,-38,-49,-45,-26,-23,-30,-26,-30,-42,-11,-30,-26,-13,-19,-26,-15,-15,-23,-15,-45,-34,-26,-23,-38,-42,-38,-15,0,-19,-34,-15,-23,-25,0,-34,-26,-49,-26,-26,-4,-15,-45,-30,-30,-23,-42,-45,-7,-23,-34,-34,-15,-38,-42,-15,-26,0,-42,-19,-19,-53,-19,-38,-26,-30,-34,-38,-7,-53,-26,-23,8,-38,-15,-34,-19,-4,-30,-30,-23,-11,-11,-7,-23,-30,-23,-34,-19,-15,-15,-42,-15,-68,-19,-26,-26,-30,-15,-15,-23,-34,-11,-30,-11,-19,-30,-26,-30,-49,-23,-30,-34,-34,-30,-30,-26,-34,-15,-19,-34,-11,-15,-26,-7,0,-49,-19,-53,-23,-30,-4,-30,8,-26,-30,-26,-15,-26,-34,-30,4,-23,-45,-23,-38,-26,-26,-19,-45,-34,-7,-26,-11,-19,-15,-26,-19,4,-4,-23,-42,-34,-19,-38,-19,-9,-38,-45,-30,-19,-15,-23,-17,-15,-26,-23,-30,-30,-30,-26,-30,-34,-26,-26,-19,-11,-30,-23,-38,-26,-26,-45,-11,-38,-19,-4,-34,-38,-19,-30,-34,-19,-26,-15,-26,-23,-38,-19,-34,-42,-26,-34,-23,-30,-45,-23,-49,-34,-15,-42,-15,8,-26,-26,-38,-15,-42,-19,-34,-23,-26,-19,-19,-7,-23,-11,-38,-42,-19,-19,-38,-23,-23,-15,-30,-15
520.2,15,0,34,-4,19,38,-4,7,23,-12,15,7,-15,7,15,-8,19,-4,0,7,7,11,-15,0,11,7,4,19,15,19,-15,0,19,19,-8,0,38,23,0,4,24,34,11,15,4,11,26,23,15,26,-12,19,34,15,-8,34,7,7,-4,26,34,19,0,7,38,-4,11,4,23,4,30,0,-12,11,-23,0,7,-4,11,19,-38,4,-12,-4,0,11,2,23,26,15,15,4,15,11,19,11,4,4,19,-12,11,-12,0,23,15,15,19,-8,11,4,11,11,7,4,19,-12,-13,7,-15,11,7,15,15,-8,-23,15,26,15,0,11,15,26,-8,11,11,11,4,15,11,-4,-4,38,4,4,15,-15,30,-4,11,30,7,23,26,-4,30,19,15,19,0,15,19,4,7,19,11,7,-8,0,4,4,-4,15,0,-8,19,19,19,30,15,19,0,19,7,-8,4,15,4,15,23,-8,-4,-12,15,0,30,4,15,-4,15,7,26,15,-12,7,11,-27,26,4,7,26,19,19,4,-4,15,19,-15,19,26,15,15,11,7,4,4,34,15,4,0,7,4,26,11,4,4,0,7,19,0,11,11,7,19,15,13,11,7,26,11,11,15,4,-8,23,7,19,15,19,4,4,7,0,0,11,-8,-12,15,4,15,19,0,4,4,11,-8,0,-8,-4,15,4,19,7,-4,11,19,11,26,11,23,-4
520.32,49,7,11,7,7,11,7,30,26,19,11,-4,19,19,23,15,23,30,11,19,15,11,4,19,19,7,0,42,15,30,11,42,-4,23,-4,19,34,19,15,11,11,23,38,23,-4,38,-4,34,23,15,7,11,11,19,4,15,26,26,23,30,23,15,26,7,7,0,-8,4,19,4,23,11,7,15,-8,0,38,-15,45,15,-8,26,49,15,-4,38,23,4,-4,-12,-12,19,15,7,11,34,30,34,0,11,25,34,45,4,30,4,-4,4,30,4,15,-19,7,23,0,23,-15,11,4,7,7,11,-4,19,-8,11,19,11,-4,11,-8,23,4,26,7,30,26,26,11,-4,15,26,7,19,21,11,34,0,0,11,-8,-8,0,4,23,-8,30,30,15,15,7,26,23,38,19,-4,23,4,4,7,-4,23,11,7,0,4,23,0,-12,11,-8,-8,-19,19,15,34,4,15,11,7,45,15,7,26,0,11,11,7,11,11,30,19,7,26,26,19,7,38,19,34,7,42,4,19,11,11,-8,23,26,30,45,4,19,38,15,-4,23,19,26,30,11,19,7,34,-12,23,-4,15,-31,-4,26,11,15,11,19,26,34,34,4,49,4,19,34,15,15,0,4,26,0,26,30,-15,45,-4,11,42,38,19,11,26,7,7,-4,26,15,-8,30,15,4,-8,7,15,4,23,23,0,38,-4,19,0
520.45,27,53,34,53,31,8,27,19,50,27,38,46,38,15,50,46,38,42,27,42,53,31,31,31,0,31,-4,27,23,38,27,34,8,34,31,38,31,12,38,34,34,15,27,15,15,57,8,19,46,42,57,50,38,50,23,38,34,42,12,12,19,23,31,38,61,27,23,23,34,34,32,15,15,34,34,57,19,42,12,50,38,46,12,31,12,31,50,46,4,12,42,0,15,4,38,8,38,-4,31,0,34,42,27,50,12,8,42,57,29,34,6,50,38,19,8,15,53,34,46,34,31,15,23,38,34,31,27,42,12,23,42,42,38,19,53,34,23,34,31,50,38,19,12,31,23,57,27,19,27,27,34,19,50,12,27,23,27,46,19,23,-4,12,19,15,34,15,27,19,4,-4,15,46,31,27,38,34,57,42,31,12,38,19,57,15,12,42,23,12,31,23,31,23,42,23,19,27,31,38,23,31,31,27,27,34,8,31,31,31,57,46,38,42,50,12,12,34,23,42,23,34,38,38,50,23,42,8,50,31,27,34,23,31,53,34,31,38,19,31,15,27,48,50,8,-4,50,34,50,23,19,15,23,38,15,42,34,15,19,27,38,31,17,15,15,34,38,53,27,31,34,38,19,38,34,38,42,38,42,15,23,27,38,38,50,8,4,19,27,61,27,23
